"miRNA_reject","adj_pvalues","mu_hat","sd","statistic","regulate"
"hsa-miR-182",6.88427296826163e-05,-0.28618074888362,0.704475093439519,-3.98025034809904,"Down"
"hsa-miR-25",2.5702869496039e-06,0.275509901748358,0.574045714978848,4.7024734146316,"Up"
"hsa-miR-23b*",1.78634753019082e-07,0.22933176504616,0.430431923924403,5.22029872741121,"Up"
"hsa-miR-1285",3.0152047977261e-05,-0.0706514397244554,0.165912669253208,-4.17231493404042,"Down"
"hsa-miR-21",5.20248015797399e-05,0.443247240717898,1.07329561720919,4.04633933930923,"Up"
"hsa-miR-324-5p",9.8096698163564e-06,0.26007782493469,0.5763500411716,4.42132675627384,"Up"
"hsa-miR-3065-5p",9.9890817813208e-06,0.114414404703029,0.25377489066043,4.41740961869578,"Up"
"hsa-miR-575",2.36260088779465e-08,0.307413711109106,0.539489436076907,5.58310640985616,"Up"
"hsa-miR-551b",9.85984365339177e-07,0.128615193626643,0.257470262853404,4.89441528606989,"Up"
"hsa-miR-140-3p",7.35576544155532e-07,-0.387743430437178,0.767226067039608,-4.95172724958209,"Down"
"hsa-miR-3137",9.5454968744159e-06,0.0873808681503105,0.19338410767683,4.42722088843744,"Up"
"hsa-miR-17*",1.39303846609659e-07,0.351927279996773,0.654778135986226,5.26616400383786,"Up"
"hsa-miR-30c-1*",3.94483790075776e-07,0.13175283099559,0.254536773129825,5.07160052573998,"Up"
"hsa-miR-136",4.48809444525631e-05,0.197303621805286,0.473723963533016,4.08080008637634,"Up"
"hsa-miR-331-3p",4.5572066870608e-05,-0.261546108760604,0.628516746542406,-4.0772470372401,"Down"
"hsa-let-7e",7.18398663468559e-12,0.48389552757478,0.691745755380032,6.85394668289304,"Up"
"hsa-miR-136",1.11278252944777e-07,0.375658884579517,0.693518356166054,5.30727169010981,"Up"
"hsv1-miR-H16",1.00294809904833e-05,0.143541577414493,0.318442828468319,4.41653684877629,"Up"
"hsa-miR-652",1.1491722383979e-09,0.267175022682366,0.430046457289086,6.08717934070447,"Up"
"hsa-miR-598",3.25051261442592e-07,0.329456251733723,0.631911176855116,5.10831103405266,"Up"
"hsa-miR-632",1.38995896358272e-07,-0.0674465801876993,0.125478017933899,-5.26657048225305,"Down"
"hsa-miR-3190",7.16534427187829e-06,-0.0946787615739952,0.206664541543076,-4.48871690524765,"Down"
"hsa-miR-1276",2.84004826059211e-05,-0.0505006236306434,0.118206327478645,-4.18592683576138,"Down"
"hsa-miR-140-3p",6.83477695397715e-06,-0.265474852564022,0.578182868590058,-4.49876994735731,"Down"
"hsa-miR-708*",3.89768673543458e-10,0.111376608946394,0.174376971023399,6.25807088170045,"Up"
"hsa-miR-29a*",5.26560120903348e-08,0.148178484679361,0.266780587194888,5.44210029882122,"Up"
"hsa-miR-575",8.4631303952801e-09,0.312455575487819,0.531593258485067,5.75896488540084,"Up"
"hsa-miR-125a-5p",3.2329239219353e-08,0.297268615572256,0.526854472150615,5.52833059742869,"Up"
"hsa-miR-24",1.25946702974281e-07,0.38449818294013,0.712875754855427,5.28464798425708,"Up"
"hsa-miR-592",1.35576249660216e-06,-0.148995237123595,0.302158627615445,-4.83140008859556,"Down"
"hsa-miR-383",6.9436410325645e-05,-0.104840891382065,0.258213388919239,-3.97820870775893,"Down"
"hsa-miR-449b*",7.00837883427288e-07,-0.381876386780575,0.754184666178388,-4.96113132169605,"Down"
"hsa-miR-521",8.02512378657564e-06,0.195113997151056,0.428203282953005,4.4645125688809,"Up"
"hsa-miR-141*",1.33812056415421e-05,0.201151017534678,0.452680416666994,4.35377662527912,"Up"
"hsa-miR-30b*",4.69215243266224e-05,0.103117275754605,0.248212788202955,4.07045440476049,"Up"
"hsa-miR-3154",1.85114449792899e-08,-0.158933451080054,0.276821681586165,-5.62536656774911,"Down"
"hsa-miR-1273e",4.68654786017512e-05,-0.164637147719335,0.396269687699701,-4.07073280785685,"Down"
"hsa-miR-96",1.17011632532321e-05,-0.565121197137241,1.26327395532382,-4.38308276675328,"Down"
"hsa-miR-4259",9.24131161689535e-10,-0.127014707179606,0.203281064043526,-6.12199122201442,"Down"
"hsa-miR-513c",7.52360959847073e-05,0.387645667020912,0.959345957993054,3.95908932451641,"Up"
"hsa-miR-218-2*",5.06172980790228e-10,-0.118768820058265,0.187173647300301,-6.2171787683001,"Down"
"hsa-miR-195*",5.78478207109677e-05,-0.100964191530112,0.245993323534248,-4.02142217501241,"Down"
"hsa-miR-218-2*",1.21961902015314e-09,-0.109805590952542,0.177021038320839,-6.07764300311043,"Down"
"hsa-miR-24",1.84161276454541e-06,0.339035677311972,0.696395896233146,4.77007069401335,"Up"
"hsa-miR-628-5p",4.68673258854257e-07,-0.093182491503238,0.181196721038618,-5.03871275011684,"Down"
"hsa-miR-218-2*",1.51115407722149e-10,-0.115944156798749,0.177384861612388,-6.40424487710279,"Down"
"hsa-miR-708*",6.37807662071163e-08,0.0751809927715531,0.136212793077521,5.40786416563293,"Up"
"hsa-miR-940",5.28687205221487e-08,-0.379311328662272,0.683002339281745,-5.44138229369328,"Down"
"hsa-miR-32*",7.95345130484648e-05,-0.282324124612934,0.701049549403506,-3.94579839880381,"Down"
"hsa-miR-628-5p",1.41901570631518e-07,-0.0949762894722451,0.176822073986514,-5.26276932794294,"Down"
"hsa-miR-4291",1.36521147961861e-07,0.293123399003735,0.544987177099084,5.26986901270779,"Up"
"hsa-miR-513b",7.03761733589919e-05,0.428687044825389,1.05666592729581,3.97501042491687,"Up"
"hsa-miR-27a",8.67803873964565e-06,0.383375776627977,0.844542200012877,4.44773526991284,"Up"
"hsa-miR-3170",5.45197192075902e-06,-0.139155024268646,0.299880241204643,-4.54659904545274,"Down"
"hsa-miR-141*",8.11757527943382e-06,0.238273459761569,0.523209895921952,4.46205930134384,"Up"
"hsa-miR-200b",4.75225583700996e-05,-0.527637784975222,1.27099889823219,-4.06748847382724,"Down"
"hsa-miR-16-2*",4.61253221586404e-07,0.239121446245302,0.464698630267278,5.04176678567319,"Up"
