"miRNA_reject","adj_pvalues","mu_hat","sd","statistic","regulate"
"hsv1-miR-H18",6.56032296047333e-05,0.227137972559492,0.557529966063974,3.99169313110751,"Up"
"hsa-miR-361-5p",1.29683201223889e-09,0.393207428236116,0.634931489963211,6.06778890305993,"Up"
"hsa-miR-30c",8.44850136309211e-07,0.389578044591733,0.77508497477646,4.9247112525498,"Up"
"hsa-miR-30e",1.1614501073712e-09,0.431436573240767,0.694637060625046,6.08547698197304,"Up"
"hsa-miR-551b",5.13557513354724e-11,0.374124478257775,0.558197554378071,6.56695153770477,"Up"
"hsa-miR-196a",4.8927090252274e-08,-0.965208204081081,1.73359898116388,-5.45516609373985,"Down"
"hsa-let-7d",2.01434909837839e-08,0.397960846037892,0.694950598340705,5.61076434915869,"Up"
"hsa-miR-151-3p",3.08769340625722e-12,0.406648988887768,0.571338747035526,6.9736739009007,"Up"
"hsa-miR-193b",1.78590332441751e-10,0.302940026484326,0.465328529358346,6.37870614617206,"Up"
"hsa-miR-9*",3.58081585552098e-44,-1.66972109620699,1.17352662050858,-13.9407649626055,"Down"
"hsa-miR-146b-5p",3.64817930971241e-21,0.9477483391963,0.98345073875263,9.44226179969371,"Up"
"hsa-miR-378*",4.98339196370822e-25,0.523174091678055,0.496071416372436,10.3332667753885,"Up"
"hsa-miR-4259",1.38366787600458e-07,-0.130955215824048,0.243591327359696,-5.26740358783457,"Down"
"hsa-miR-4270",3.71880025108543e-06,0.418853494025093,0.887042261987743,4.62650938431855,"Up"
"hsa-miR-188-5p",3.41135839526149e-06,0.341675637101394,0.720815231227114,4.64435784473635,"Up"
"hsa-miR-200c*",2.94056596482296e-13,0.269284483890201,0.361574007496156,7.29709069241346,"Up"
"hsa-miR-17*",1.83041835507238e-05,0.151859567613367,0.347267579160022,4.2846320881688,"Up"
"hsa-miR-150*",3.93950589740883e-07,-0.225331215724926,0.435301237775826,-5.0718578653003,"Down"
"hsa-miR-3200-5p",1.97580731784597e-06,0.0506461297438622,0.104339969099272,4.75588315351044,"Up"
"hsa-miR-188-5p",2.11308415754214e-05,0.290935967954179,0.670315256401869,4.25259405931355,"Up"
"hsa-miR-301a",2.41741285158761e-13,0.659975920925576,0.882978534436853,7.32341358591291,"Up"
"hsa-miR-3926",1.64373888594335e-08,-0.241044020935104,0.418314761198498,-5.64584290688781,"Down"
"hsa-miR-130a",9.31603154141607e-34,1.20873692254809,0.977941191969515,12.1102934115783,"Up"
"hsa-miR-34b",2.82851880483901e-08,-0.642455616041997,1.13383588749086,-5.55173269447607,"Down"
"hsa-miR-3190",9.85043533098179e-07,-0.112952433952734,0.226106857598489,-4.89460304438756,"Down"
